,Unnamed: 0,unique_id,feature_1,feature_2,feature_3,presence,grid
0,0,10000000,7,5,3,0,0001000000010010000010000000000100000000000100001000000000000000
1,1,10000001,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
2,2,10000002,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
3,3,10000003,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
4,4,10000004,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
5,5,10000005,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
6,6,10000006,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
7,7,10000007,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
8,8,10000008,2,2,1,0,0000000000000000000000000000000000000001000100000000000000000000
9,9,10000009,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
10,10,10000010,11,2,10,1,0000000000000100000000000001100001111100011010000000000000000000
11,11,10000011,4,2,3,1,0000000000000000010111000000000000000000000000000000000000000000
12,12,10000012,4,3,2,1,0000000000000000000000000000000000000000011010000000001000000000
13,13,10000013,6,2,4,1,0000000000000000000000000000000000000000000000001110010000100100
14,14,10000014,9,1,9,1,0000000000000000111111001001100000000000000000000000000000000000
15,15,10000015,26,3,22,1,0000000000000000010111000000000000100000111111101111111011111110
16,16,10000016,4,2,2,1,0000000000000000000000000000000000000000110100000001000000000000
17,17,10000017,9,1,9,1,0000000000000000000110000001110011100100000000000000000000000000
18,18,10000018,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
19,19,10000019,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
20,20,10000020,1,1,1,0,0000000000000000000000000000001000000000000000000000000000000000
21,21,10000021,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
22,22,10000022,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
23,23,10000023,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
24,24,10000024,4,2,2,1,0000000000000000000000000000000000000000011011000000000000000000
25,25,10000025,21,1,21,1,0000000000000000011000100001011000001000111111101001111000100010
26,26,10000026,6,1,6,1,0000000000000000000000000000000000100000011111000000000000000000
27,27,10000027,11,2,10,1,0000001000000000000100000001100011111100100000000000000000000000
28,28,10000028,3,2,2,1,0000000000000000000000000000000011001000000000000000000000000000
29,29,10000029,3,2,2,1,0000000000000000000000000000000000001100010000000000000000000000
30,30,10000030,8,2,6,1,0000000000000000000000000000000000000000000010001101111000001000
31,31,10000031,13,1,13,1,0000000010011100111111100001100000000000000000000000000000000000
32,32,10000032,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
33,33,10000033,37,1,37,1,0000000000000000110000001111111011111111111110101111111011111110
34,34,10000034,22,3,20,1,0000000000000100000000001001010000010100000010101111111011111110
35,35,10000035,16,1,16,1,0000000000000000000000000000000000000000110000001111111011111110
36,36,10000036,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
37,37,10000037,16,2,15,1,0000000000000000000000000000100001110111111111100000010010000000
38,38,10000038,17,2,16,1,0000000000000100100010000010110010011010111111000000100000000000
